,Start,Trough,Recovery,Depth,Duration (days),Drawdown (days),Recovery (days),Recovered
1,2021-11-10,2022-10-14,2024-05-15,-0.2355530090475654,917,338,579.0,True
2,2020-02-20,2020-03-18,2020-07-20,-0.21349277223413754,151,27,124.0,True
3,2015-04-28,2016-01-20,2016-07-01,-0.12074104649346848,430,267,163.0,True
4,2018-01-29,2018-12-24,2019-04-04,-0.1180598196761103,430,329,101.0,True
5,2025-02-21,2025-04-08,2025-05-19,-0.10117404146419183,87,46,41.0,True
6,2026-03-02,2026-03-27,2026-04-14,-0.06394208867763242,43,25,18.0,True
7,2020-09-03,2020-10-30,2020-11-24,-0.06222042918201487,82,57,25.0,True
8,2016-09-07,2016-11-14,2017-02-16,-0.057139415292737764,162,68,94.0,True
9,2024-07-17,2024-08-07,2024-08-19,-0.04943263056877842,33,21,12.0,True
10,2021-02-16,2021-03-08,2021-04-15,-0.046446488116569845,58,20,38.0,True
