Scenario,Category,Asset,Shock,P&L_EUR,Return
2022 Rate Shock,Historical,SPY,-0.2205506184600169,-551376.5461500422,-0.21035832123340398
2022 Rate Shock,Historical,QQQ,-0.32096435089425035,-320964.3508942504,-0.21035832123340398
2022 Rate Shock,Historical,EFA,-0.2613380505910542,-261338.05059105423,-0.21035832123340398
2022 Rate Shock,Historical,EEM,-0.28300645142738023,-141503.22571369013,-0.21035832123340398
2022 Rate Shock,Historical,TLT,-0.31848060520601873,-477720.9078090281,-0.21035832123340398
2022 Rate Shock,Historical,IEF,-0.16524014836206435,-165240.14836206438,-0.21035832123340398
2022 Rate Shock,Historical,HYG,-0.14412989397615483,-72064.94698807741,-0.21035832123340398
2022 Rate Shock,Historical,EMB,-0.2555022280464939,-127751.11402324696,-0.21035832123340398
2022 Rate Shock,Historical,GLD,-0.09388162389710408,-65717.13672797286,-0.21035832123340398
2022 Rate Shock,Historical,SLV,-0.19153885613173627,-57461.65683952088,-0.21035832123340398
2022 Rate Shock,Historical,USO,0.3340690917736424,66813.81835472849,-0.21035832123340398
2022 Rate Shock,Historical,DBC,0.23580351136726474,70741.05341017942,-0.21035832123340398
COVID Crash 2020,Historical,SPY,-0.3340034652351388,-835008.663087847,-0.1811257344484753
COVID Crash 2020,Historical,QQQ,-0.27225632231505015,-272256.3223150502,-0.1811257344484753
COVID Crash 2020,Historical,EFA,-0.32373473099948036,-323734.73099948035,-0.1811257344484753
COVID Crash 2020,Historical,EEM,-0.30289236400861064,-151446.18200430533,-0.1811257344484753
COVID Crash 2020,Historical,TLT,0.14226495080385915,213397.4262057887,-0.1811257344484753
COVID Crash 2020,Historical,IEF,0.06357175321873898,63571.75321873899,-0.1811257344484753
COVID Crash 2020,Historical,HYG,-0.21860762890778362,-109303.81445389181,-0.1811257344484753
COVID Crash 2020,Historical,EMB,-0.21266636237318082,-106333.18118659042,-0.1811257344484753
COVID Crash 2020,Historical,GLD,-0.030548012050105156,-21383.60843507361,-0.1811257344484753
COVID Crash 2020,Historical,SLV,-0.27630803915480573,-82892.41174644172,-0.1811257344484753
